asta,lotto,puledro,padre,prezzo_eur,venduto,motivo_non_venduto,fonte
"Asta ANACT yearlings, risultati ufficiali",88,MISTICA JET,CAPITAL MAIL,9000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",26,MELODIA DODA,NAD AL SHEBA,9000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",87,MATRIX ALKY DI NO,RINGOSTARR TREB,9000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",122,MARTA DL,AXL ROSE,9000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",108,MOLTRES CAS,ALRAJAH ONE,9000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",49,MARIENNE VIMAR,READLY EXPRESS,9000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",148,MITSKI,DIMITRI FERM,8000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",50,MELROSE STAR SM,RINGOSTARR TREB,8000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",89,MIDNIGHT GRIF,VERNISSAGE GRIF,8000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",144,MAZINGA GRIF,SOUTHWIND FRANK,8000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",23,MOENA ROB GRIF,ZACON GIO,8000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",153,MITICA GIFONT,RINGOSTARR TREB,8000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",90,MADRID BIG LAKSMY,INTERNATIONAL MONI,8000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",99,MAGIC ROBERT,ZACCARIA BAR,8000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",133,MEDUSA MSS,TESORO DEGLI DEI,8000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",6,MILLIONER GIEGI,SOUTHWIND FRANK,8000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",71,MIAMI GIEGI,ALRAJAH ONE,8000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",104,MIOSS STAR SM,RINGOSTARR TREB,7000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",1,MAI DIRE MAI BI,MANOFMANYMISSIONS,7000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",52,MAUI BI,INTERNATIONAL MONI,7000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",114,MEETING AS,EL IDEAL,7000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",58,MOJITO BIG LAKSMY,INTERNATIONAL MONI,7000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",13,MIRKO JET,VITRUVIO,7000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",12,MIKE JET,VITRUVIO,7000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",120,MONEY WIN SURE,DIMITRI FERM,7000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",113,MARJON,READLY EXPRESS,7000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",155,MORGAN D'ARC,SIX PACK,7000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",127,MONEY CASH,VICTOR FERM,7000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",76,MARYLIN SM,ALRAJAH ONE,6000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",100,MINOU DI POGGIO,VALZER DI POGGIO,6000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",14,ME'LODIE JET,OASIS BI,6000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",79,MISSING HOME,EL IDEAL,6000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",105,MIRO',SCEICCO,6000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",59,MARA DI GIRIFALCO,SIX PACK,6000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",134,MILLYON,EL IDEAL,6000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",35,MON AMOUR T,ZACCARIA BAR,6000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",7,MARLENE MAIL,VITRUVIO,5000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",131,MADIBA FONT,ZACCARIA BAR,5000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",78,MITICA LAKSMY,DONATO HANOVER,5000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",5,MY HOME,DONATO HANOVER,5000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",83,MITHYCAL VICTORY,ZACCARIA BAR,5000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",48,MAGICA CAS,AMON YOU SM,5000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",98,MARY JO FMF,SOUTHWIND FRANK,5000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",55,MADISON VIMAR,AMBASSADOR HANOVER,5000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",45,MINERVA MAIL,RINGOSTARR TREB,4000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",106,MASK BIG LAKSMY,GREEN MANALISHI,4000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",115,MORGANA AV,ALRAJAH ONE,4000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",47,MERCEDES,VITRUVIO,3000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",85,MAGICWINNER MGR,AMBASSADOR HANOVER,3000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",32,MIKE MGR,VILLIAM,3000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
