asta,lotto,puledro,padre,prezzo_eur,venduto,motivo_non_venduto,fonte
ITS Asta Selezionata Yearlings Trottatori 2024,210,ITSMYLIFE,MAHARAJAH,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,212,INDIA,THE BANK,14000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,213,INTERCITY AS,EL IDEAL,26000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,214,IMAGE WISE L,DONATO HANOVER,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,215,ICHNUSA BAR,NAD AL SHEBA,17000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,216,IN VOLO BI,MANOFMANYMISSION,11000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,217,IRIDE DEGLI DEI,EL IDEAL,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,218,ISTAR,TRIXTON,8000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,219,IRIS DI GIRIFALCO,DONATO HANOVER,8000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,220,INWIND WISE L,INTERNATIONAL MONI,4000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,221,ISOPACH,MAHARAJAH,19000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,222,ICEBERG LAKSMY,NAD AL SHEBA,16000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,224,IRREVERENT POINT,TONY GIO,7000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,225,IACOPO JET,WISHING STONE,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,226,INCANTO DEGLI DEI,EL IDEAL,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,227,IRMINE DI POGGIO,VALZER DI POGGIO,7000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,228,IUNO LUX,HELP IS ON THE WAY,17000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,229,INTERLAND AS DE,PASCIA' LEST,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,230,I'M FLOATING HOME,DONATO HANOVER,5000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,231,ITALIA ITALIA,THE BANK,9000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,232,IDEAL LOVE AS,EL IDEAL,9000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,233,IMPERO JET,MAHARAJAH,24000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,234,INOX BI,EQUINOX BI,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,235,IN THE DARK,OROPURO BAR,6000,no,nessun compratore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,236,ITACA GRIF,ROBERT BI,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,237,IPSILON WISE AS,TROLLEY,17000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,238,ICE BIG LAKSMY,THE BANK,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,239,INSTANBUL WISE AS,TROLLEY,14000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,240,INDICA JET,TWISTER BI,8000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,241,ITS SO EASY BI,TWISTER BI,11000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,242,INCUBO WISE L,THE BANK,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,243,ISABEL,NUNCIO,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,244,ISFAHAN MIL,EL IDEAL,6000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,245,IRA LEONE SAT,ROBERT BI,,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,246,IMMA IN LOVE,MANOFMANYMISSION,7000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,247,ITACA WISE L,TROLLEY,11000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,248,ISEO AS,VIVID WISE AS,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,249,IRON LADY EFFE,NUNCIO,11000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,250,INK WISE L,TROLLEY,15000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,251,IARAWA AS,EL IDEAL,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
"Asta ANACT yearlings, risultati ufficiali",29,MOIRA GRIF,DONATO HANOVER,38000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",146,MIURA LUX,MAHARAJAH,30000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",97,MUCH MORE,IDAO DE TILLARD,28000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",132,MEGARA DEGLI DEI,THE BANK,27000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",24,MERCEDES FERM,NAD AL SHEBA,26000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",63,MUSTANG D'ARC,ADRIAN CHIP,25000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",38,MARYROSE,FATHER PATRICK,24000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",130,MELODIA BI,VERNISSAGE GRIF,22000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",27,MONTOZZI BIEFFE,ALRAJAH ONE,21000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",109,MATCH BI,BEPI BI,20000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",136,MACARENA BI,VARENNE,20000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",16,MARLON DL,MAHARAJAH,20000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",143,MARRAKECH VIMAR,MAHARAJAH,20000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",92,MIAMI DREAM,MAHARAJAH,20000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",22,MIXER BI,VERNISSAGE GRIF,19000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",64,MARTE LUX,MAHARAJAH,19000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",42,MANTO DEI SOGNI,ALRAJAH ONE,18000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",142,MINOSSE,GREENSHOE,18000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",57,MONTGOMERY GRIF,ALRAJAH ONE,17000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",94,MONFORTE GRIF,SOUTHWIND FRANK,17000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",139,MIRABILE LUX,READLY EXPRESS,17000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
